Date,Days,Name,Type
01-jan-15,Thursday,New Year's Day,Restricted Holiday
04-jan-15,Sunday,Milad un-Nabi,Gazetted Holiday
05-jan-15,Monday,Guru Govind Singh Jayanti,Restricted Holiday
15-jan-15,Thursday,Pongal,Restricted Holiday
15-jan-15,Thursday,Makar Sankranti,Restricted Holiday
22-jan-15,Thursday,"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
24-jan-15,Saturday,Vasant Panchami,Restricted Holiday
26-jan-15,Monday,Republic Day,Gazetted Holiday
03-feb-15,Tuesday,Guru Ravidas Jayanti,Restricted Holiday
14-feb-15,Saturday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
14-feb-15,Saturday,Valentine's Day,Observance
17-feb-15,Tuesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
19-feb-15,Thursday,Shivaji Jayanti,Restricted Holiday
19-feb-15,Thursday,Lunar New Year,Observance
05-mar-15,Thursday,Holika Dahana,Restricted Holiday
06-mar-15,Friday,Holi,Restricted Holiday
21-mar-15,Saturday,Chaitra Sukhladi,Restricted Holiday
21-mar-15,Saturday,Ugadi,Restricted Holiday
21-mar-15,Saturday,Gudi Padwa,Restricted Holiday
21-mar-15,Saturday,March Equinox,Season
28-mar-15,Saturday,Rama Navami,Gazetted Holiday
02-apr-15,Thursday,Maundy Thursday,"Observance, Christian"
02-apr-15,Thursday,Mahavir Jayanti,Gazetted Holiday
03-apr-15,Friday,Good Friday,Gazetted Holiday
04-apr-15,Saturday,First day of Passover,Observance
05-apr-15,Sunday,Easter Day,Restricted Holiday
14-apr-15,Tuesday,Vaisakhi,Restricted Holiday
14-apr-15,Tuesday,Ambedkar Jayanti,Observance
15-apr-15,Wednesday,Mesadi / Vaisakhadi,Restricted Holiday
01-may-15,Friday,International Worker's Day,Observance
03-may-15,Sunday,Hazarat Ali's Birthday,Restricted Holiday
04-may-15,Monday,Buddha Purnima/Vesak,Gazetted Holiday
09-may-15,Saturday,Birthday of Rabindranath,Restricted Holiday
10-may-15,Sunday,Mother’s Day,Observance
21-jun-15,Sunday,Father’s Day,Observance
21-jun-15,Sunday,June Solstice,Season
17-jul-15,Friday,Jamat Ul-Vida,Restricted Holiday
18-jul-15,Saturday,Rath Yatra,Restricted Holiday
31-jul-15,Friday,Guru Purnima,Observance
02-aug-15,Sunday,Friendship Day,Observance
15-aug-15,Saturday,Independence Day,Gazetted Holiday
18-aug-15,Tuesday,Parsi New Year,Restricted Holiday
28-aug-15,Friday,Onam,Restricted Holiday
29-aug-15,Saturday,Raksha Bandhan (Rakhi),Restricted Holiday
05-sep-15,Saturday,Janmashtami,Gazetted Holiday
05-sep-15,Saturday,Janmashtami (Smarta),Observance
17-sep-15,Thursday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
23-sep-15,Wednesday,September Equinox,Season
25-sep-15,Friday,Bakrid,Gazetted Holiday
02-oct-15,Friday,Mahatma Gandhi Jayanti,Gazetted Holiday
13-oct-15,Tuesday,First Day of Sharad Navratri,"Observance, Hinduism"
19-oct-15,Monday,First Day of Durga Puja Festivities,"Observance, Hinduism"
20-oct-15,Tuesday,Maha Saptami,Restricted Holiday
21-oct-15,Wednesday,Maha Ashtami,Restricted Holiday
22-oct-15,Thursday,Dussehra,Gazetted Holiday
24-oct-15,Saturday,Muharram/Ashura,Gazetted Holiday
27-oct-15,Tuesday,Maharishi Valmiki Jayanti,Restricted Holiday
30-oct-15,Friday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
31-oct-15,Saturday,Halloween,Observance
10-nov-15,Tuesday,Naraka Chaturdasi,Restricted Holiday
11-nov-15,Wednesday,Diwali/Deepavali,Gazetted Holiday
12-nov-15,Thursday,Govardhan Puja,Restricted Holiday
13-nov-15,Friday,Bhai Duj,Restricted Holiday
17-nov-15,Tuesday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
24-nov-15,Tuesday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
25-nov-15,Wednesday,Guru Nanak Jayanti,Gazetted Holiday
07-dec-15,Monday,First Day of Hanukkah,Observance
14-dec-15,Monday,Last day of Hanukkah,Observance
22-dec-15,Tuesday,December Solstice,Season
24-dec-15,Thursday,Christmas Eve,Restricted Holiday
25-dec-15,Friday,Christmas,Gazetted Holiday
31-dec-15,Thursday,New Year's Eve,Observance
